,Unnamed: 0,index,maxAutoCorrelation,numberofTxns,stDevEosSent,numActiveDays,maxTxnsDay,minTxnsDay,avgTxnsPerActiveDays,numTxnsWeekdays,numTxnsWeekends,numActiveDaysWeekdays,numActiveWeekends,numActiveHours,maxTxnsHour,minTxnsHour,txnsPerActiveHour,numActiveHoursWeekdays,numActiveHoursWeekends,label,pred_y
0,0,edgarwinston,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
1,1,raidenkeegan,0.5797039707155841,41,0.3864911018412953,31,11.0,0.0,1.3225806451612905,21.0,15.0,21,5,31,11.0,0.0,1.3225806451612905,21,5,1.0,0.0
2,2,heathderrick,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,1.0,1.0
3,3,jakobantoine,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
4,4,bryantjaylon,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
5,5,karsonskylar,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
6,6,luisclarence,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
7,7,griffinhamza,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
8,8,miguelmalaki,0.9145472307534604,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,1.0,1.0
9,9,devinbeckham,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
10,10,sullivangael,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
11,11,hassanisrael,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
